title,movie_release_year,imdb_rating,summary,duration,genre
Pather Panchali,1955,8.6,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",2h 5min,Drama
Hanky Panky,1979,8.6,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,2h 24min,"Comedy, Romance"
Raatchasan,2018,8.7,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,2h 50min,"Action, Crime, Thriller"
Anbe Sivam,2003,8.7,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",2h 40min,"Adventure, Comedy, Drama"
Nayakan,1987,8.6,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",2h 36min,"Crime, Drama"
The World of Apu,1959,8.5,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,1h 45min,Drama
Natsamrat,2016,9.0,"After he retires, an aging theatre actor and his wife begin to feel unwanted by their children.",2h 46min,"Drama, Family"
Kireedam,1989,8.8,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,2h 4min,"Action, Drama"
Pariyerum Perumal,2018,8.7,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",2h 34min,Drama
Black Friday,2004,8.5,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",2h 23min,"Action, Crime, Drama"
